source,text,clean_text,sentiment,score
media,"Ekonomi Global Bikin Cemas, RI Gimana? Prasasti Center for Policy Studies (Prasasti) menekankan kondisi keuangan negara masih relatif aman hingga saat ini. Hal tersebut tercermin dari sejumlah indikator makroekonomi yang saat ini menunjukkan kondisi fiskal terjaga di tengah tantangan global.

Policy and Program Director Prasasti, Piter Abdullah, menjelaskan pertumbuhan ekonomi masih tumbuh positif di kisaran 5% dengan inflasi tahunan tercatat sekitar 3,08% pada bulan Mei 2026. Menurutnya, angka inflasi ini menjadi salah satu indikator penting karena mencerminkan perkembangan harga sekaligus daya beli masyarakat.

""Jadi kalau kita lihat dari inflasi, kondisi inflasi kita juga masih relatif bagus, yaitu sampai dengan bulan Mei lalu itu, inflasi kita ada di 3,08% year-on-year,"" ungkap Piter dalam program detikSore, Jumat (12/6/2026).

SCROLL TO CONTINUE WITH CONTENT

Ia juga mengatakan, ketahanan ekonomi nasional juga tercermin dalam neraca perdagangan. Berdasarkan data Badan Pusat Statistik (BPS), Indonesia masih mencatat surplus perdagangan selama 72 bulan berturut-turut sejak 2020.

ADVERTISEMENT

""Ini juga cerminan bahwa kita masih baik-baik saja. Bahkan kalau kita kaitkan dengan kondisi gejolak global ini, sebenarnya beberapa saudara-saudara kita di beberapa wilayah di Indonesia ini, justru mengalami windfall, kalau bahasa sehari-hari kita, dapat durian runtuh,"" jelasnya.

Kemudian dari sisi eksternal, Piter menilai cadangan devisa (cadev) Indonesia juga masih memadai sekitar US$ 145 miliar. Cadev ini dianggap memenuhi kebutuhan kebutuhan transaksi internasional, termasuk impor dan kewajiban utang luar negeri pemerintah.

Piter menambahkan, pemerintah juga berkomitmen terhadap disiplin fiskal. Hal itu tercermin dari upaya pemerintah dalam menjaga defisit anggaran tetap berada di bawah batas 3%.

""Ini adalah hal-hal yang menurut saya indikator-indikator yang bisa kita jadikan pegangan untuk mengatakan bahwasannya kondisi fiskal, kondisi keuangannya pemerintah itu relatif baik,"" pungkasnya.",ekonomi global bikin cemas ri gimana prasasti center for policy studies prasasti menekankan kondisi keuangan negara masih relatif aman hingga saat ini hal tersebut tercermin dari sejumlah indikator makroekonomi yang saat ini menunjukkan kondisi fiskal terjaga di tengah tantangan global policy and program director prasasti piter abdullah menjelaskan pertumbuhan ekonomi masih tumbuh positif di kisaran 5 dengan inflasi tahunan tercatat sekitar 3 08 pada bulan mei 2026 menurutnya angka inflasi ini menjadi salah satu indikator penting karena mencerminkan perkembangan harga sekaligus daya beli masyarakat jadi kalau kita lihat dari inflasi kondisi inflasi kita juga masih relatif bagus yaitu sampai dengan bulan mei lalu itu inflasi kita ada di 3 08 year on year ungkap piter dalam program detiksore jumat 12 6 2026 scroll to continue with content ia juga mengatakan ketahanan ekonomi nasional juga tercermin dalam neraca perdagangan berdasarkan data badan pusat statistik bps indonesia masih mencatat surplus perdagangan selama 72 bulan berturut turut sejak 2020 advertisement ini juga cerminan bahwa kita masih baik baik saja bahkan kalau kita kaitkan dengan kondisi gejolak global ini sebenarnya beberapa saudara saudara kita di beberapa wilayah di indonesia ini justru mengalami windfall kalau bahasa sehari hari kita dapat durian runtuh jelasnya kemudian dari sisi eksternal piter menilai cadangan devisa cadev indonesia juga masih memadai sekitar us 145 miliar cadev ini dianggap memenuhi kebutuhan kebutuhan transaksi internasional termasuk impor dan kewajiban utang luar negeri pemerintah piter menambahkan pemerintah juga berkomitmen terhadap disiplin fiskal hal itu tercermin dari upaya pemerintah dalam menjaga defisit anggaran tetap berada di bawah batas 3 ini adalah hal hal yang menurut saya indikator indikator yang bisa kita jadikan pegangan untuk mengatakan bahwasannya kondisi fiskal kondisi keuangannya pemerintah itu relatif baik pungkasnya,neutral,0.8168751001358032
instagram,UU perampasan aset ajah gak mau di Sah kan 😂,uu perampasan aset ajah gak mau di sah kan,negative,0.9999516010284424
instagram,"Kadang musuh pemerintahan kalo ngomong enteng banget berkoar koar Seolah olah membela rakyat , Giliran di kasih Jabatan , Seketika diam tanpa rasa malu",kadang musuh pemerintahan kalo ngomong enteng banget berkoar koar seolah olah membela rakyat giliran di kasih jabatan seketika diam tanpa rasa malu,negative,0.9999357461929321
instagram,Sita harta nya sesuai dengan kerugian...,sita harta nya sesuai dengan kerugian,neutral,0.9996727705001831
instagram,Potong dua duanya pak biar kalau boker gak bisa cebok,potong dua duanya pak biar kalau boker gak bisa cebok,negative,0.9999091625213623
instagram,"Pas jadi mentri ngapain aja woy, baru kluar dan ga ada di barisan 07 lgsg nyalah2in institusi yg dulu anda jd pentolanya. Lucu syekali",pas jadi mentri ngapain aja woy baru kluar dan ga ada di barisan 07 lgsg nyalah2in institusi yg dulu anda jd pentolanya lucu syekali,positive,0.999313473701477
instagram,Tee satte tayyeuu,tee satte tayyeuu,neutral,0.6999274492263794
instagram,pas jsdi pejabat NGAPAIN AJA PROF .. 🙏🏼,pas jsdi pejabat ngapain aja prof,negative,0.9999486207962036
instagram,"Coba hukuman koruptor kaya di China di pake Indonesia ,apakah melanggar HAM",coba hukuman koruptor kaya di china di pake indonesia apakah melanggar ham,negative,0.99994957447052
instagram,"folkjkt
 2h
Mahfud MD menyatakan bahwa koruptor seperti
Dadan tidak cukup hanya dihukum p#tong tangan. Dalam pernyataannya, ia menilai hukuman tersebut terlalu ringan bagi pelaku korupsi dengan nilai yang sangat besar.

Menurut Mahfud, hukuman p#tong tangan tidak sebanding dengan kerugian yang ditimbulkan akibat korupsi. Ia berpendapat bahwa pelaku korupsi triliunan rupiah tetap akan diuntungkan jika hanya dikenai hukuman tersebut.

“Masa korupsi triliunan hanya dip#tong tangan? Enak saja, tinggal beli tangan palsu. Masukkan penjara, kalau perlu hukum m#ti,” ujar Mahfud.

Ia juga menyinggung usulan yang pernah disampaikan dalam sebuah acara televisi mengenai penerapan hukuman p#tong tangan bagi koruptor.

Menurutnya, hukuman tersebut terlalu ringan untuk kasus korupsi besar sehingga tidak memberikan efek jera yang sepadan.
.
.
.
.
.
.
folkjkt infojakarta jakartahits jakartabanget beritajakarta",folkjkt 2h mahfud md menyatakan bahwa koruptor seperti dadan tidak cukup hanya dihukum p tong tangan dalam pernyataannya ia menilai hukuman tersebut terlalu ringan bagi pelaku korupsi dengan nilai yang sangat besar menurut mahfud hukuman p tong tangan tidak sebanding dengan kerugian yang ditimbulkan akibat korupsi ia berpendapat bahwa pelaku korupsi triliunan rupiah tetap akan diuntungkan jika hanya dikenai hukuman tersebut masa korupsi triliunan hanya dip tong tangan enak saja tinggal beli tangan palsu masukkan penjara kalau perlu hukum m ti ujar mahfud ia juga menyinggung usulan yang pernah disampaikan dalam sebuah acara televisi mengenai penerapan hukuman p tong tangan bagi koruptor menurutnya hukuman tersebut terlalu ringan untuk kasus korupsi besar sehingga tidak memberikan efek jera yang sepadan folkjkt infojakarta jakartahits jakartabanget beritajakarta,negative,0.9999324083328247
