source,text
instagram,UU perampasan aset ajah gak mau di Sah kan 😂
instagram,"Kadang musuh pemerintahan kalo ngomong enteng banget berkoar koar Seolah olah membela rakyat , Giliran di kasih Jabatan , Seketika diam tanpa rasa malu"
instagram,Sita harta nya sesuai dengan kerugian...
instagram,Potong dua duanya pak biar kalau boker gak bisa cebok
instagram,"Pas jadi mentri ngapain aja woy, baru kluar dan ga ada di barisan 07 lgsg nyalah2in institusi yg dulu anda jd pentolanya. Lucu syekali"
instagram,Tee satte tayyeuu
instagram,pas jsdi pejabat NGAPAIN AJA PROF .. 🙏🏼
instagram,"Coba hukuman koruptor kaya di China di pake Indonesia ,apakah melanggar HAM"
instagram,Contact Uploading & Non-Users
instagram,"folkjkt
 2h
Mahfud MD menyatakan bahwa koruptor seperti
Dadan tidak cukup hanya dihukum p#tong tangan. Dalam pernyataannya, ia menilai hukuman tersebut terlalu ringan bagi pelaku korupsi dengan nilai yang sangat besar.

Menurut Mahfud, hukuman p#tong tangan tidak sebanding dengan kerugian yang ditimbulkan akibat korupsi. Ia berpendapat bahwa pelaku korupsi triliunan rupiah tetap akan diuntungkan jika hanya dikenai hukuman tersebut.

“Masa korupsi triliunan hanya dip#tong tangan? Enak saja, tinggal beli tangan palsu. Masukkan penjara, kalau perlu hukum m#ti,” ujar Mahfud.

Ia juga menyinggung usulan yang pernah disampaikan dalam sebuah acara televisi mengenai penerapan hukuman p#tong tangan bagi koruptor.

Menurutnya, hukuman tersebut terlalu ringan untuk kasus korupsi besar sehingga tidak memberikan efek jera yang sepadan.
.
.
.
.
.
.
folkjkt infojakarta jakartahits jakartabanget beritajakarta"
instagram,"Mulut doang, realita gada"
instagram,"Mahfud MD menyatakan bahwa koruptor seperti
Dadan tidak cukup hanya dihukum p#tong tangan. Dalam pernyataannya, ia menilai hukuman tersebut terlalu ringan bagi pelaku korupsi dengan nilai yang sangat besar.

Menurut Mahfud, hukuman p#tong tangan tidak sebanding dengan kerugian yang ditimbulkan akibat korupsi. Ia berpendapat bahwa pelaku korupsi triliunan rupiah tetap akan diuntungkan jika hanya dikenai hukuman tersebut.

“Masa korupsi triliunan hanya dip#tong tangan? Enak saja, tinggal beli tangan palsu. Masukkan penjara, kalau perlu hukum m#ti,” ujar Mahfud.

Ia juga menyinggung usulan yang pernah disampaikan dalam sebuah acara televisi mengenai penerapan hukuman p#tong tangan bagi koruptor.

Menurutnya, hukuman tersebut terlalu ringan untuk kasus korupsi besar sehingga tidak memberikan efek jera yang sepadan.
.
.
.
.
.
.
folkjkt infojakarta jakartahits jakartabanget beritajakarta"
